"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"LosPolinesios","People & Blogs","People & Blogs","Mexico","North America","122000.00",2012,25700000,"10M-100M","7466926260"
"David Guetta","Music","Music","United States","North America","656900.00",2009,25700000,"10M-100M","17793809548"
"TaylorSwiftVEVO","Music","Music","United States","North America","1300000.00",2009,25600000,"10M-100M","25592378292"
"Fede Vigevani","Howto & Style","Other","Nothing","Other","0.00",2019,25600000,"10M-100M","7962725960"
"ZHC","Film & Animation","Film & Animation","Nothing","Other","0.08",2006,25500000,"10M-100M","2726917087"
"Post Malone","Music","Music","United States","North America","782000.00",2011,25500000,"10M-100M","14401218086"
"LankyBox","Comedy","Comedy","United States","North America","3300000.00",2016,25400000,"10M-100M","34300482066"
"Rans Entertainment","People & Blogs","People & Blogs","Indonesia","Asia","233900.00",2015,25400000,"10M-100M","6430853035"
"Coldplay","Music","Music","United Kingdom","Europe","795500.00",2010,25300000,"10M-100M","17331663193"
"WB Kids","People & Blogs","People & Blogs","United States","North America","561300.00",2015,25200000,"10M-100M","11081602368"
"The Lallantop","News & Politics","Other","India","Asia","1100000.00",2015,25200000,"10M-100M","10409352249"
"ABPLIVE","People & Blogs","People & Blogs","Nothing","Other","0.01",2014,25200000,"10M-100M","7968363381"
"Las Ratitas","People & Blogs","People & Blogs","Nothing","Other","0.04",2019,25200000,"10M-100M","9602246828"
"RihannaVEVO","Music","Music","United States","North America","377000.00",2009,25100000,"10M-100M","19458807708"
"WatchMojo.com","Music","Music","Canada","North America","196000.00",2007,25100000,"10M-100M","16357064198"
"Anuel AA","Music","Music","Colombia","South America","1100000.00",2016,25000000,"10M-100M","14827085149"
"TRANS7 OFFICIAL","Entertainment","Entertainment","Indonesia","Asia","492800.00",2014,25000000,"10M-100M","14169516119"
"Yuya","Howto & Style","Other","Mexico","North America","1300.00",2009,24800000,"10M-100M","2588501115"
"America's Got Talent","Entertainment","Entertainment","United States","North America","537600.00",2006,24800000,"10M-100M","3699352704"
"mujjuu___14","People & Blogs","People & Blogs","Nothing","Other","1600000.00",2020,24800000,"10M-100M","14655527943"
"Dan Rhodes","Entertainment","Entertainment","United Kingdom","Europe","1300000.00",2015,24800000,"10M-100M","17387583720"
"EminemVEVO","Music","Music","United States","North America","557800.00",2009,24700000,"10M-100M","20531704527"
"Chloe Ting","Howto & Style","Other","Australia","Oceania","93100.00",2011,24700000,"10M-100M","2994726412"
"KatyPerryVEVO","Music","Music","United States","North America","355800.00",2009,24600000,"10M-100M","23755792542"
"Mark Rober","Science & Technology","Other","United States","North America","354500.00",2011,24600000,"10M-100M","3647987299"
"1theK (�����","Music","Music","South Korea","Asia","422300.00",2011,24500000,"10M-100M","23962070944"
"Like Nastya AE","Entertainment","Entertainment","United States","North America","679500.00",2018,24400000,"10M-100M","12385924995"
"Amit Bhadana","Entertainment","Entertainment","Nothing","Other","0.02",2009,24300000,"10M-100M","2380248899"
"Pen Movies","Film & Animation","Film & Animation","India","Asia","379400.00",2014,24300000,"10M-100M","6608773195"
"MrBeast en Espa��","Entertainment","Entertainment","Mexico","North America","134400.00",2021,24200000,"10M-100M","2700914170"
"shfa show India","nan","Other","United Arab Emirates","Other","604800.00",2019,24200000,"10M-100M","15724160183"
"netd m��","Music","Music","Turkey","Other","1700000.00",2014,24100000,"10M-100M","56106087508"
"Super JoJo - Nursery Rhymes & Kids Songs","nan","Other","United States","North America","1300000.00",2019,24100000,"10M-100M","329774870"
"Alejo Igoa","Comedy","Comedy","Argentina","South America","1600000.00",2014,24100000,"10M-100M","10999000479"
"Daniel LaBelle","Comedy","Comedy","Nothing","Other","1600000.00",2009,24100000,"10M-100M","12916159065"
"DJ Snake","Music","Music","United States","North America","253200.00",2008,24100000,"10M-100M","8425505919"
"Diana and Roma ARA","nan","Other","United States","North America","267500.00",2019,24100000,"10M-100M","11041261296"
"KSI","Entertainment","Entertainment","United Kingdom","Europe","21800.00",2009,24100000,"10M-100M","6002166932"
"Spider Slack","Comedy","Comedy","Brazil","South America","3000000.00",2020,24000000,"10M-100M","13943030228"
"Preston","Gaming","Gaming","United States","North America","606800.00",2012,24000000,"10M-100M","8279004442"
"Goldmines Movies","Film & Animation","Film & Animation","Nothing","Other","0.01",2018,24000000,"10M-100M","5652938599"
"James Charles","Entertainment","Entertainment","United States","North America","232500.00",2015,23900000,"10M-100M","4067878931"
"Diana and Roma EN","People & Blogs","People & Blogs","United States","North America","711100.00",2011,23900000,"10M-100M","7213499085"
