"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Koray Zeynep","People & Blogs","Nothing","People & Blogs","Nothing","Other","17400000","16560557488","1700000.00","6629952995",2016
"Mazhavil Manorama","Entertainment","India","Entertainment","India","Asia","15300000","16545966132","1400000.00","6623396453",2011
"Worldwide Records Bhojpuri","Music","India","Music","India","Asia","31700000","16476978876","450600.00","6600436730",2012
"Jkk Entertainment","Comedy","India","Comedy","India","Asia","37200000","16402066717","199400.00","6572046507",2017
"WatchMojo.com","Music","Canada","Music","Canada","North America","25100000","16357064198","196000.00","6550414479",2007
"toyorbabytv","Music","Jordan","Music","Jordan","Other","22900000","16298342829","676200.00","6526409992",2012
"Dude Perfect","Sports","United States","Other","United States","North America","59500000","16241549158","564800.00","6514639103",2009
"jacksepticeye","Gaming","Nothing","Gaming","Nothing","Other","30100000","16246625836","161700.00","6507728844",2007
"MGC Playhouse","Shows","United States","Other","United States","North America","17900000","16174530046","410500.00","6475305168",2009
"Mikecrack","Gaming","Spain","Gaming","Spain","Europe","39100000","16118181673","1100000.00","6459332669",2015
"IndiaTV","News & Politics","India","Other","India","Asia","35500000","16105023749","1200000.00","6453019500",2006
"IGN","Gaming","United States","Gaming","United States","North America","17500000","16107116549","393400.00","6448214640",2006
"Junya.����","Entertainment","Japan","Entertainment","Japan","Asia","26200000","16097531087","2900000.00","6447742435",2020
"MoniLina","Comedy","United States","Comedy","United States","North America","12400000","16086808918","0.00","6438443567",2016
"Calvin Harris","Music","United Kingdom","Music","United Kingdom","Europe","19000000","16014044618","409600.00","6411440727",2007
"ToyPuddingTV","Entertainment","Nothing","Entertainment","Nothing","Other","27100000","15916882228","0.06","6374882891",2017
"ZutiGang","People & Blogs","Nothing","People & Blogs","Nothing","Other","14900000","15913320995","1400000.00","6370218398",2021
"NickyJamTV","Music","Nothing","Music","Nothing","Other","23600000","15901824841","311700.00","6367903446",2012
"Disney Junior","Entertainment","United States","Entertainment","United States","North America","16100000","15812009296","1100000.00","6329963718",2008
"Filaretiki","nan","United States","Other","United States","North America","14800000","15788208522","4800000.00","6321163409",2021
"toycantando","Music","Colombia","Music","Colombia","South America","27700000","15777682516","695300.00","6319591596",2009
"Lady Gaga","People & Blogs","United States","People & Blogs","United States","North America","23200000","15751661213","572700.00","6307796295",2008
"shfa show India","nan","United Arab Emirates","Other","United Arab Emirates","Other","24200000","15724160183","604800.00","6297105513",2019
"Saregama Music","Entertainment","India","Entertainment","India","Asia","35500000","15657673422","2100000.00","6274349369",2013
"Ultra Bollywood","Trailers","India","Other","India","Asia","36600000","15653786446","0.00","6272494578",2009
