"country","continent","abbreviation","channel_count","total_subscribers","total_views","avg_earnings","latitude","longitude","country_rank","category"
"Mexico","North America","MX","8","158800000","41277257258","169675.000000000000","23.634501","-102.552784","23","People & Blogs"
"Brazil","South America","BR","8","173500000","40300983515","612225.000000000000","-14.235004","-51.925280","23","Comedy"
"Spain","Europe","ES","8","161600000","59111948904","266700.000000000000","40.463667","-3.749220","23","Gaming"
"Indonesia","Asia","ID","8","165500000","35129490039","298400.000000000000","-0.789275","113.921327","23","People & Blogs"
"Mexico","North America","MX","8","146000000","49726056223","244664.875000000000","23.634501","-102.552784","23","Entertainment"
"South Korea","Asia","KR","7","249600000","115670264220","737585.714285714286","35.907757","127.766922","29","Music"
"Brazil","South America","BR","7","140700000","62770223957","362957.142857142857","-14.235004","-51.925280","29","Film & Animation"
"United Kingdom","Europe","GB","7","125200000","52780798646","293928.571428571429","55.378051","-3.435973","29","Gaming"
"Colombia","South America","CO","7","161400000","111644874564","815771.428571428571","4.570868","-74.297333","29","Music"
"Brazil","South America","BR","6","107700000","39652691144","140166.666666666667","-14.235004","-51.925280","33","Gaming"
"India","Asia","IN","6","87000000","18397094400","214683.333333333333","20.593684","78.962880","33","Howto & Style"
"United States","North America","US","6","119600000","26776336894","155483.333333333333","37.090240","-95.712891","33","Science & Technology"
"Brazil","South America","BR","6","111900000","39380287371","245466.666666666667","-14.235004","-51.925280","33","People & Blogs"
"India","Asia","IN","5","72300000","5154437395","325420.000000000000","20.593684","78.962880","37","nan"
"India","Asia","IN","5","358600000","345677199342","4142920.000000000000","20.593684","78.962880","37","Shows"
"Ukraine","Other","UA","5","80200000","37465355505","137720.084000000000","48.379433","31.165580","37","Entertainment"
"Thailand","Asia","TH","5","119200000","84769268833","348600.018000000000","15.870032","100.992541","37","Music"
"United States","North America","US","5","104000000","52927254831","403673.000000000000","37.090240","-95.712891","37","News & Politics"
"United States","North America","US","5","206200000","115379648832","882480.000000000000","37.090240","-95.712891","37","Sports"
"Canada","North America","CA","5","179300000","89209649326","551260.000000000000","56.130366","-106.346771","37","Music"
"Mexico","North America","MX","4","90200000","19331003893","205800.000000000000","23.634501","-102.552784","44","Howto & Style"
"United States","North America","US","4","103000000","67775445351","1181075.000000000000","37.090240","-95.712891","44","Shows"
"Argentina","South America","AR","4","145800000","113656966268","972250.015000000000","-38.416097","-63.616672","44","Music"
"India","Asia","IN","4","81200000","12490209066","193575.000000000000","20.593684","78.962880","44","Science & Technology"
"South Korea","Asia","KR","4","66800000","33943063456","271925.000000000000","35.907757","127.766922","44","Entertainment"
"Spain","Europe","ES","4","64500000","23268398997","14076.607500000000","40.463667","-3.749220","44","Entertainment"
"Canada","North America","CA","4","76300000","33707109150","92875.000000000000","56.130366","-106.346771","44","Gaming"
"Russia","Europe","RU","3","47600000","17845869329","379266.666666666667","61.524010","105.318756","51","Gaming"
"Argentina","South America","AR","3","72100000","17397790938","338366.666666666667","-38.416097","-63.616672","51","Entertainment"
"Mexico","North America","MX","3","42700000","8352474788","77533.333333333333","23.634501","-102.552784","51","Gaming"
"Pakistan","Other","PK","3","116100000","102923768021","4200000.000000000000","30.375321","69.345116","51","Entertainment"
"Chile","South America","CL","3","87200000","29347556577","222166.733333333333","-35.675147","-71.542969","51","Gaming"
"Philippines","Asia","PH","3","72400000","53454586289","266466.666666666667","12.879721","121.774017","51","People & Blogs"
"Australia","Oceania","AU","3","52900000","17790103954","62866.666666666667","-25.274398","133.775136","51","Gaming"
"Japan","Asia","JP","3","63100000","43061119098","1900003.333333333333","36.204824","138.252924","51","Entertainment"
"Russia","Europe","RU","3","75800000","45835033639","1378366.666666666667","61.524010","105.318756","51","Entertainment"
"Mexico","North America","MX","3","70900000","15211438311","139900.000000000000","23.634501","-102.552784","51","Comedy"
"Philippines","Asia","PH","3","55000000","35124935617","613633.333333333333","12.879721","121.774017","51","News & Politics"
"Spain","Europe","ES","3","39500000","19865767320","354300.000000000000","40.463667","-3.749220","51","Music"
"Argentina","South America","AR","3","59800000","28133193747","1457566.666666666667","-38.416097","-63.616672","51","Comedy"
"Saudi Arabia","Other","SA","3","55200000","13089900453","9833.3333333333333333","23.885942","45.079162","51","Entertainment"
"South Korea","Asia","KR","3","116900000","40644859615","824100.000000000000","35.907757","127.766922","51","People & Blogs"
"Indonesia","Asia","ID","3","48300000","16810658972","174466.666666666667","-0.789275","113.921327","51","Education"
"Philippines","Asia","PH","3","68300000","32284670012","1269733.333333333333","12.879721","121.774017","51","Entertainment"
"Spain","Europe","ES","2","28200000","5166281149","193750.000000000000","40.463667","-3.749220","68","Sports"
"India","Asia","IN","2","78000000","33262717607","361900.000000000000","20.593684","78.962880","68","Trailers"
"India","Asia","IN","2","29700000","3864199945","39650.000000000000","20.593684","78.962880","68","Gaming"
"United States","North America","US","2","44600000","25217568458","1500000.000000000000","37.090240","-95.712891","68","Pets & Animals"
"France","Europe","FR","2","29100000","8824490274","60951.500000000000","46.227638","2.213749","68","Music"
"Canada","North America","CA","2","25200000","10992308812","55450.000000000000","56.130366","-106.346771","68","Entertainment"
"Jordan","Other","JO","2","44100000","36791737055","408150.000000000000","30.585164","36.238414","68","Entertainment"
"Indonesia","Asia","ID","2","33700000","7279937034","155850.000000000000","-0.789275","113.921327","68","Gaming"
"United Kingdom","Europe","GB","2","55000000","30839908931","597050.000000000000","55.378051","-3.435973","68","Film & Animation"
"South Korea","Asia","KR","2","35400000","26594323476","6800000.000000000000","35.907757","127.766922","68","nan"
"Colombia","South America","CO","2","56200000","29283712574","1350000.000000000000","4.570868","-74.297333","68","People & Blogs"
"Australia","Oceania","AU","2","41900000","26167381314","254900.295000000000","-25.274398","133.775136","68","Music"
"Turkey","Other","TR","2","34800000","17113117334","230450.000000000000","38.963745","35.243322","68","Entertainment"
"Spain","Europe","ES","2","47600000","11117969199","46300.000000000000","40.463667","-3.749220","68","Comedy"
